code,name,description,unit_code,unit_name,unit_sigla,is_active
63031200,De fibras sintéticas,De fibras sintéticas,6,KILOGRAMO NETO,KN,true
63031900,De las demás materias textiles,De las demás materias textiles,6,KILOGRAMO NETO,KN,true
63039100,De algodón,De algodón,6,KILOGRAMO NETO,KN,true
63039200,De fibras sintéticas,De fibras sintéticas,6,KILOGRAMO NETO,KN,true
63039900,De las demás materias textiles,De las demás materias textiles,6,KILOGRAMO NETO,KN,true
63041100,De punto,De punto,6,KILOGRAMO NETO,KN,true
63041900,Las demás,Las demás,6,KILOGRAMO NETO,KN,true
63049100,De punto,De punto,6,KILOGRAMO NETO,KN,true
63049200,"De algodón, excepto de punto","De algodón, excepto de punto",6,KILOGRAMO NETO,KN,true
63049300,"De fibras sintéticas, excepto de punto","De fibras sintéticas, excepto de punto",6,KILOGRAMO NETO,KN,true
63049900,"De las demás materias textiles, excepto de punto","De las demás materias textiles, excepto de punto",6,KILOGRAMO NETO,KN,true
63051000,De yute o demás fibras textiles del líber de la partida 53.03,De yute o demás fibras textiles del líber de la partida 53.03,6,KILOGRAMO NETO,KN,true
63052000,De algodón,De algodón,6,KILOGRAMO NETO,KN,true
63053200,Continentes intermedios flexibles para productos a granel,Continentes intermedios flexibles para productos a granel,6,KILOGRAMO NETO,KN,true
63053310,De polietileno,De polietileno,6,KILOGRAMO NETO,KN,true
63053321,Con capacidad de carga inferior o igual a 50 kilos neto,Con capacidad de carga inferior o igual a 50 kilos neto,6,KILOGRAMO NETO,KN,true
63053322,Con capacidad de carga superior a 50 kilos neto pero inferior o,Con capacidad de carga superior a 50 kilos neto pero inferior o,6,KILOGRAMO NETO,KN,true
63053329,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
63053900,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
63059000,De las demás materias textiles,De las demás materias textiles,6,KILOGRAMO NETO,KN,true
63061200,De fibras sintéticas,De fibras sintéticas,6,KILOGRAMO NETO,KN,true
63061900,De las demás materias textiles,De las demás materias textiles,6,KILOGRAMO NETO,KN,true
63062210,De nailon,De nailon,6,KILOGRAMO NETO,KN,true
63062290,Las demás,Las demás,6,KILOGRAMO NETO,KN,true
63062900,De las demás materias textiles,De las demás materias textiles,6,KILOGRAMO NETO,KN,true
63063000,Velas,Velas,6,KILOGRAMO NETO,KN,true
63064000,Colchones neumáticos,Colchones neumáticos,6,KILOGRAMO NETO,KN,true
63069100,De algodón,De algodón,6,KILOGRAMO NETO,KN,true
63069900,De las demás materias textiles,De las demás materias textiles,6,KILOGRAMO NETO,KN,true
63071000,"Paños para fregar o lavar (bayetas, paños rejilla), franelas y artÍculos similares para limpieza","Paños para fregar o lavar (bayetas, paños rejilla), franelas y artÍculos similares para limpieza",6,KILOGRAMO NETO,KN,true
63072000,Cinturones y chalecos salvavidas,Cinturones y chalecos salvavidas,6,KILOGRAMO NETO,KN,true
63079000,Los demás,Los demás,6,KILOGRAMO NETO,KN,true
63080000,"Juegos constituidos por piezas de tejido e hilados, incluso con accesorios, para la confección de al","Juegos constituidos por piezas de tejido e hilados, incluso con accesorios, para la confección de alfombras, tapicería, manteles o servilletas bordados o de artículos textiles similares, en envases pa",6,KILOGRAMO NETO,KN,true
63090010,"Abrigos, chaquetones e impermeables","Abrigos, chaquetones e impermeables",6,KILOGRAMO NETO,KN,true
63090020,Chaquetas y parkas,Chaquetas y parkas,6,KILOGRAMO NETO,KN,true
63090030,Trajes (ternos) y trajes sastre,Trajes (ternos) y trajes sastre,6,KILOGRAMO NETO,KN,true
63090040,Pantalones,Pantalones,6,KILOGRAMO NETO,KN,true
